id,year,metric,question,basis,unit_hint,section_hint,answer
roe_fy25,FY2024-25,RoE,What was Return on Average Net Worth (ROE) in FY2024–25?,Standalone,%,Performance highlights / Ratios,
total_income_fy25_standalone,FY2024-25,Total Income,What was total income in FY2024–25?,Standalone,₹ crore,Standalone Profit and Loss,
nii_fy25,FY2024-25,Net Interest Income,What was Net Interest Income (NII) in FY2024–25?,Standalone,₹ crore,Standalone Profit and Loss,
other_income_fy25,FY2024-25,Other Income,What was other income in FY2024–25?,Standalone,₹ crore,Standalone Profit and Loss,
ppop_fy25,FY2024-25,Operating Profit / PPOP,What was the operating profit (PPOP) in FY2024–25?,Standalone,₹ crore,Standalone Profit and Loss,
assets_fy25,FY2024-25,Total Assets,"What were total assets as at March 31, 2025?",Standalone,₹ crore,Standalone Balance Sheet,
networth_fy25,FY2024-25,Shareholders’ Funds,"What was shareholders’ funds / net worth as at March 31, 2025?",Standalone,₹ crore,Standalone Balance Sheet,
casa_value_fy25,FY2024-25,CASA Deposits (₹),"What was the CASA deposits amount as on March 31, 2025?",Standalone,₹ crore,Deposit mix / Highlights,
termdep_value_fy25,FY2024-25,Time Deposits (₹),"What was the time deposits amount as on March 31, 2025?",Standalone,₹ crore,Deposit mix / Highlights,
cd_ratio_fy25,FY2024-25,Credit-to-Deposit ratio,What was the Credit-to-Deposit (CD) ratio in FY2024–25?,Standalone,%,Performance highlights / Ratios,
nim_fy25_consol,FY2024-25,NIM (Consolidated),What was the Net Interest Margin (NIM) in FY2024–25 (consolidated)?,Consolidated,%,Consolidated P&L / MD&A,
pat_fy25_consol,FY2024-25,PAT (Consolidated),What was Profit after Tax in FY2024–25 (consolidated)?,Consolidated,₹ crore,Consolidated Profit and Loss,
total_income_fy25_consol,FY2024-25,Total Income (Consolidated),What was total income in FY2024–25 (consolidated)?,Consolidated,₹ crore,Consolidated Profit and Loss,
assets_fy25_consol,FY2024-25,Total Assets (Consolidated),"What were total assets as at March 31, 2025 (consolidated)?",Consolidated,₹ crore,Consolidated Balance Sheet,
gnpa_fy25_consol,FY2024-25,GNPA (Consolidated),What was the Gross NPA ratio in FY2024–25 (consolidated)?,Consolidated,%,Consolidated notes / Asset quality,
nnpa_fy25_consol,FY2024-25,NNPA (Consolidated),What was the Net NPA ratio in FY2024–25 (consolidated)?,Consolidated,%,Consolidated notes / Asset quality,
employees_fy25,FY2024-25,Employees,"How many employees did HDFC Bank have as at March 31, 2025?",Standalone,,Statutory section / Corporate overview,
branches_fy25,FY2024-25,Branches,"How many branches were there as at March 31, 2025?",Standalone,,Statutory section / Corporate overview,
dps_fy25,FY2024-25,Dividend per Share,What was the dividend per share for FY2024–25?,Standalone,₹,Directors’ Report / Corporate actions,
bvps_fy25,FY2024-25,Book Value per Share,"What was the book value per share as at March 31, 2025?",Standalone,₹,Ratios / Highlights,
casa_avg_fy25,FY2024-25,CASA Ratio (avg),What was the average CASA ratio in FY2024–25 (if disclosed)?,Standalone,%,MD&A / Deposits,
casa_share_fy25,FY2024-25,CASA Share of Deposits,What share of total deposits was CASA in FY2024–25?,Standalone,%,Directors’ Report / Highlights,
dep_fy24,FY2023-24,Total Deposits,"What were HDFC Bank’s total deposits as on March 31, 2024?",Standalone,₹ crore,Directors’ Report / Highlights,
casa_fy24,FY2023-24,CASA ratio,What was the CASA ratio in FY2023–24?,Standalone,%,Directors’ Report / Highlights,
adv_fy24,FY2023-24,Total Advances,"What were total advances as on March 31, 2024?",Standalone,₹ crore,Directors’ Report / Highlights,
pat_fy24_standalone,FY2023-24,PAT (Standalone),What was Net Profit (PAT) in FY2023–24 (standalone)?,Standalone,₹ crore,Directors’ Report / Highlights,
gnpa_fy24,FY2023-24,Gross NPA ratio,What was the Gross NPA ratio in FY2023–24?,Standalone,%,Risk / Asset Quality summary,
nnpa_fy24,FY2023-24,Net NPA ratio,What was the Net NPA ratio in FY2023–24?,Standalone,%,Risk / Asset Quality summary,
pcr_fy24,FY2023-24,Provision Coverage Ratio,What was the Provision Coverage Ratio (PCR) in FY2023–24?,Standalone,%,Risk / Asset Quality summary,
cir_fy24,FY2023-24,Cost-to-Income ratio,What was the Cost-to-Income ratio in FY2023–24?,Standalone,%,Performance highlights / Ratios,
nim_fy24,FY2023-24,Net Interest Margin,What was the Net Interest Margin (NIM) in FY2023–24?,Standalone,%,Performance highlights / Ratios,
car_fy24,FY2023-24,Capital Adequacy Ratio,What was the Capital Adequacy Ratio (CRAR/CAR) in FY2023–24?,Standalone,%,Capital & Risk / Basel,
tier1_fy24,FY2023-24,Tier 1 Ratio,What was the Tier 1 capital ratio in FY2023–24?,Standalone,%,Capital & Risk / Basel,
cet1_fy24,FY2023-24,CET1 Ratio,What was the CET1 ratio in FY2023–24?,Standalone,%,Capital & Risk / Basel,
eps_fy24,FY2023-24,EPS (Basic),What was the Basic EPS in FY2023–24?,Standalone,₹,Performance highlights / Ratios,
roa_fy24,FY2023-24,RoA,What was the Return on Assets (RoA) in FY2023–24?,Standalone,%,Performance highlights / Ratios,
roe_fy24,FY2023-24,RoE,What was Return on Average Net Worth (ROE) in FY2023–24?,Standalone,%,Performance highlights / Ratios,
total_income_fy24_standalone,FY2023-24,Total Income,What was total income in FY2023–24?,Standalone,₹ crore,Standalone Profit and Loss,
nii_fy24,FY2023-24,Net Interest Income,What was Net Interest Income (NII) in FY2023–24?,Standalone,₹ crore,Standalone Profit and Loss,
other_income_fy24,FY2023-24,Other Income,What was other income in FY2023–24?,Standalone,₹ crore,Standalone Profit and Loss,
ppop_fy24,FY2023-24,Operating Profit / PPOP,What was the operating profit (PPOP) in FY2023–24?,Standalone,₹ crore,Standalone Profit and Loss,
assets_fy24,FY2023-24,Total Assets,"What were total assets as at March 31, 2024?",Standalone,₹ crore,Standalone Balance Sheet,
networth_fy24,FY2023-24,Shareholders’ Funds,"What was shareholders’ funds / net worth as at March 31, 2024?",Standalone,₹ crore,Standalone Balance Sheet,
casa_value_fy24,FY2023-24,CASA Deposits (₹),"What was the CASA deposits amount as on March 31, 2024?",Standalone,₹ crore,Deposit mix / Highlights,
termdep_value_fy24,FY2023-24,Time Deposits (₹),"What was the time deposits amount as on March 31, 2024?",Standalone,₹ crore,Deposit mix / Highlights,
cd_ratio_fy24,FY2023-24,Credit-to-Deposit ratio,What was the Credit-to-Deposit (CD) ratio in FY2023–24?,Standalone,%,Performance highlights / Ratios,
pat_fy24_consol,FY2023-24,PAT (Consolidated),What was Profit after Tax in FY2023–24 (consolidated)?,Consolidated,₹ crore,Consolidated Profit and Loss,
total_income_fy24_consol,FY2023-24,Total Income (Consolidated),What was total income in FY2023–24 (consolidated)?,Consolidated,₹ crore,Consolidated Profit and Loss,
assets_fy24_consol,FY2023-24,Total Assets (Consolidated),"What were total assets as at March 31, 2024 (consolidated)?",Consolidated,₹ crore,Consolidated Balance Sheet,
gnpa_fy24_consol,FY2023-24,GNPA (Consolidated),What was the Gross NPA ratio in FY2023–24 (consolidated)?,Consolidated,%,Consolidated notes / Asset quality,
nnpa_fy24_consol,FY2023-24,NNPA (Consolidated),What was the Net NPA ratio in FY2023–24 (consolidated)?,Consolidated,%,Consolidated notes / Asset quality,
employees_fy24,FY2023-24,Employees,"How many employees did HDFC Bank have as at March 31, 2024?",Standalone,,Statutory section / Corporate overview,
branches_fy24,FY2023-24,Branches,"How many branches were there as at March 31, 2024?",Standalone,,Statutory section / Corporate overview,
dps_fy24,FY2023-24,Dividend per Share,What was the dividend per share for FY2023–24?,Standalone,₹,Directors’ Report / Corporate actions,
bvps_fy24,FY2023-24,Book Value per Share,"What was the book value per share as at March 31, 2024?",Standalone,₹,Ratios / Highlights,
casa_avg_fy24,FY2023-24,CASA Ratio (avg),What was the average CASA ratio in FY2023–24 (if disclosed)?,Standalone,%,MD&A / Deposits,
casa_share_fy24,FY2023-24,CASA Share of Deposits,What share of total deposits was CASA in FY2023–24?,Standalone,%,Directors’ Report / Highlights,
